ID,ANTIG_UEDÄD,STATUS,MONTO,MEDIO_PAGO,PAQUETE,ID_OFERTA,MAPEO_PR,PROBABILIDAD
L84FA4LLO0,07 A 11,IMPAGO,217868.615,#N/D,SPURS,Y79G54,2,0.5707
LLOLFAZ48Z,24 A 47,activo,243753.995,TYP2,SPURS,Y79G54,4,0.4848
LO0FAFAV9FALO,60 Y MAS,IMPAGO,237282.65,BITCOIN,VIKING ARMOUR,B92375,2,0.5843
L9V94FA90,00 A 06,activo,161783.625,#N/D,SPURS,Y79G54,N,0.5989
LLLOZZVZ8,48 A 60,IMPAGO,,#N/D,SPURS,Y79G54,#N/D,0.4894
L9L984FAV,00 A 06,IMPAGO,181197.66,TYP2,SPURS,Y79G54,N,0.1531
L90ZLO4LOZ,07 A 11,activo,273953.605,#N/D,VIKING ARMOUR,B92375,N,0.1405
L48L88LV,24 A 47,ACTIVO,265325.145,0,NAVAL,B92375,4,0.1025
L8LZV8LLO,07 A 11,IMPAGO,,#N/D,VIKING ARMOUR,Y79G54,#N/D,0.4012
LLLO4LLLFA,48 A 60,activo,163940.74,GOLD,DRAGONS,Y79G54,2,0.4354
LFAL8908L,24 A 47,IMPAGO,265325.145,0,NAVAL,B92375,4,0.0525
LLO00L049,24 A 47,BAJA,383966.47,BITCOIN,VIKING ARMOUR,Y79G54,4,0.6962
FA0FAV9048,00 A 06,IMPAGO,,#N/D,VIKING ARMOUR,B92375,#N/D,0.3475
LLOZFAFA0,12 A 23,IMPAGO,,#N/D,SPURS,Y79G54,#N/D,0.1751
L94LFA0FALO,00 A 06,IMPAGO,,#N/D,DRAGONS,JSF89A,N,0.5941
L9VFA0L0FA,00 A 06,ACTIVO,237282.65,BITCOIN,VIKING ARMOUR,B92375,N,0.5204
L9LLL8VFA,00 A 06,activo,260148.069,#N/D,VIKING ARMOUR,JSF89A,N,0.3535
8LOLL4,60 Y MAS,BAJA,440051.46,BITCOIN,VIKING ARMOUR,Y79G54,4,0.7968
LV4LFAV8FA,12 A 23,IMPAGO,,#N/D,SPURS,Y79G54,#N/D,0.9091
LFA00LLZV,24 A 47,BAJA,237282.65,BITCOIN,SOIL,Y79G54,2,0.9882
LLOFA09FA,00 A 06,IMPAGO,159626.51,#N/D,SOIL,Y79G54,N,0.4648
L800ZLO,07 A 11,IMPAGO,135898.245,#N/D,DRAGONS,B92375,2,0.1055
80LFA00LOZ,60 Y MAS,IMPAGO,317095.905,0,VIKING ARMOUR,Y79G54,4,0.4192
LVLFAZML0,12 A 23,activo,,#N/D,VIKING ARMOUR,Y79G54,#N/D,0.1948
VFAZ0LO0Z,60 Y MAS,BAJA,358081.09,ETHER,VIKING ARMOUR,Y79G54,4,0.134
LO0FA80V4LO,24 A 47,BAJA,,#N/D,#N/D,#N/D,#N/D,0.8937
V04ZVZ89,48 A 60,IMPAGO,239439.765,GOLD,NAVAL,B92375,4,0.1394
L8V4ZVZZ,07 A 11,ACTIVO,155312.28,#N/D,DRAGONS,Y79G54,N,0.5511
LFALOZLLO8L,24 A 47,BAJA,207083.04,GOLD,SPURS,Y79G54,4,0.1007
