ID,GASTO
L9V94FA90,1
LLLOZZVZ8,
L8LZV8LLO,
LLLO4LLLFA,1
FA0FAV9048,
LLOZFAFA0,
L9LLL8VFA,1
LV4LFAV8FA,
L800ZLO,1
LVLFAZML0,
LO0FA80V4LO,
LVLOZZ809,1
L9FAFA0V98,
LLOL9ZL04,
LL49LZLFA,1
V0VLOL4VL,
LLOLFAFA09Z,1
LV400L8LO,
FA0Z088V0,
LV84LZFA0,
L840LLFAFA,
90L4V0FALO,
L880VLOFA0,I
L8L804VFA,1
L80LLO9LOV,
LZLO000LO0,
L84FA9LV4,
FA0LOVFALO00,
L849LOLZ0,1
L80V40ZLO,1
L90L0FALO9,1
FA0ZZ4LZLO,
L90FALFA8L,
L88VFA089,
80ZFAFA,
FA0ZLO080Z,
L9Z0LOZ00,
LO04VLO4L0,1
L84LO0040,1
L9000V0FA,1
L880LO8L8,
L8804940,1
L0LV9LLO0,
LVZ04ZLO4,
LZMLVFA0Z,1
L400ZLOZV,1
LO0VLO04LO0,
FA0Z00Z98,
LFALZZFAZM,
L8FAFALLL0,1
LV4ZLO9L4,
900ZMLOZLO,
L9ZFA4FAVFA,
LLOZV4L,
LLV00VZ0,1
V94FA49L,
LO04LZ4LOFA,
LVZM90Z9,
FA0Z88980,
LLO4LO40FA8,
L8ZZ9048,
LLOV8FAZL9,1
LLOV00FA89,1
L9Z4FA800,1
L8VLOVVLLO,
90L000FA8,
V09V4LOZ,
L90LO0Z4V,
L9LLL040,1
LVVLOZFALOL,1
LO0ZV40VFA,
LZ4LO0LOV8,1
FA0Z0L0Z0,
L0,
LFA4ZZL00,
L8FAZLO0L4,1
FA0FA9800L,
LLOV9L00FA,1
L00L08LOFA,1
ZZLOL400Z,
L0800ZLO9,
9Z98FA44,
FA0Z0LOFALZ,
LZLO04FAL0,1
L9Z400LOFA,
L8Z9Z0FA0,1
LLOLZV0LO0,1
L40FAVVZ4,1
V0L80Z8FA,
LL0LOL94Z,1
LLOV0LO0LO0,1
L980Z04FA,1
L94VFA8ZL,
LV90LFA0V,1
LV048ZV0,
LZ48900FA,1
LZ4L0Z00,
FA04089FAV,
L9Z08LFA0,
L9FAVLL,
LZ80FAV04,1
LVV0LLFAL,1
LLOZZMFA04,1
LV4VV9L0,
8000LFAFAFA,1
LVLOL98LV,1
L9Z0FAFAFA0,
900LO4L89,
900ZZFAFA9,
9004FAL89,
V0Z8L49FA,
L80LLFALOZ,
ZZVLOFALO0L,1
FA0V8LLO4Z,
LZ4LVVLFA,1
L49LO9FAFA4,1
L9V4VZ80,
LZ88LO04Z,
ZZ48LO48LO,1
L9FAFA09ZL,
LVLLLO4V4,I
L8VLOL0LFA,
LO0LL0LOZ9,1
L80L0L9L,1
V0Z8ZFAL,1
L8ZLO09LL,
L80FAFA0FA0,1
FA04L8LZFA,
L49LLZ84,1
L4FALLO8FAL,
LVZM0000,1
L4LFALZ89,
809FALO0Z,
LV9FA9000,1
L80FA0LZ9,1
LZ0VFAV0L,
L8LOZZM8L,
L888L4LZ,
L9408448,1
LV84LZMLO,
L8490840,
L4V0LO9LO8,
L0FA9ZL00,1
LV4000,1
LV0Z000Z,1
LLO04FA9FALO,1
L89LOFAZ09,
L80L9LOV8,
LLOL0L4L8,
LV8VVFAFAZ,
L9L4ZLO49,
V0LO440FA0,
L9LFAZ8LZ,
L949V488,
LLZLLV49,
90084FA,
LZ8Z4LFA4,1
LFA408LO9FA,1
L90ZV90L,
V0Z0Z449,1
L0L49000,1
FAZ80,
Z0LOLLO0VLO,1
LLO08LO8FAL,1
ZZL04FALO9,
LVZMV9Z0,1
L80LOVVZFA,1
FA009ZLOZZ,
LFAVVVVLZ,
FA04049FA0,
L8L0LLFA4,
L4ZV0LO48,
LZ08V0L0,1
ZVZ98Z49,
9L4LFA40,1
LZ0LO8FALOFA,1
LZ4LO0LOV8,1
90LLO0LOZ8,
LZMFA8L,1
LO0ZFA09LO8,1
L00L4ZZZ,1
LO0ZLLOVL4,
LLFALLO00V,1
FA040980FA,
FA0VLV0LO0,
8FA40FALFA,I
L9VZ40VL,
LZV88FA89,1
L484LOFA0Z,1
LZ9009LOL,
LO04V80Z0,1
L4Z0LO040,
LVLO84L,1
LZMLOLL4LO,1
LVLOFAL0FAV,
LLOZ00848,1
9V894FALO,1
V0L004VV,1
L94Z4VFALO,1
LV9LOLL90,1
LLLZML04,
FA0Z98Z04,
L8880VLL,
LZ0ZFALO8L,
LLO00FA9V4,
90004Z8V,
LLOZV9V8V,1
L88ZFA94Z,1
LFA9L8LOFA4,
