PERIODO,ID,BAJA,IMPAGO,REINSTALACION,COST_X
202012,L84FA4LLO0,H,2,0,92.2
202102,LLOLFAZ48Z,0,2,2,36.6
202101,LO0FAFAV9FALO,0,3,0,79.8
202011,L9V94FA90,NULL,2,2,25.1
202102,LLLOZZVZ8,0,2,0,59.8
202012,L9L984FAV,0,2,0,27.8
202102,L90ZLO4LOZ,0,3,3,44.9
202102,LLLO4LLLFA,0,1,1,33
202011,LFAL8908L,0,2,0,96.7
202011,LLO00L049,3,0,0,36.7
202102,FA0FAV9048,0,3,0,86.1
202101,LLOZFAFA0,0,2,0,25.9
202012,L94LFA0FALO,0,1,0,87.6
202011,L9LLL8VFA,0,3,3,48
202101,8LOLL4,3,0,0,19.2
202102,LV4LFAV8FA,0,2,0,55.1
202102,LFA00LLZV,1,0,0,44.3
202012,LLOFA09FA,0,1,0,48.9
202011,L800ZLO,0,1,0,25.2
202011,80LFA00LOZ,0,3,0,3
202102,VFAZ0LO0Z,3,0,0,23
202101,V04ZVZ89,0,2,0,49.4
202101,LFALOZLLO8L,2,0,0,42.6
202101,L8LLO9Z0LO,0,2,2,94.5
202101,LVLOZZ809,0,3,0,13.9
202012,L9890LO09,0,2,0,94
202101,FA0LZ90FA8,0,2,2,3.4
202102,FA0FAV0LO40,0,3,0,0.8
202102,849LV49,3,0,0,42.2
202101,88Z80V8,0,3,3,42.9
202102,LZM8LV0L,2,0,0,55.4
202102,LL49LZLFA,0,1,0,59.6
202012,L0VLOVFA00,0,2,2,51.7
202102,L8L89FA08,0,3,0,73.3
202101,L4L98V,0,1,0,99.4
202102,LLOLFAFA09Z,0,3,0,99.9
202101,FA0Z088V0,0,1,0,80
202012,90L4V0FALO,3,0,0,84
202102,L80LLO9LOV,0,3,0,99.1
202101,ZZZ98V8L,1,0,0,39.3
202102,LVV9ZLL8,2,0,0,46.3
202011,L90ZVLO00,0,3,0,11.6
202102,L84FA9LV4,2,0,0,18.8
202101,LV4LOLV04,0,3,0,82.5
202012,L849LOLZ0,0,2,0,21
202012,LFALO8LLOFA4,0,3,3,69
202101,L80V40ZLO,0,2,0,86.9
202102,L90L0FALO9,0,2,2,47.2
202102,L9FAVV9FA9,0,1,0,5.8
202101,FA0ZZ4LZLO,0,2,0,11.9
202012,L80LO8Z0V,0,3,0,35.5
202101,LVFA04L,0,2,2,88.8
202012,L88VFA089,0,3,0,42
202011,88VVFAV0,3,0,0,26.3
202101,L4LOL00,0,2,0,66.4
202101,FA00FA00FA0,0,1,0,10
202102,FA0ZLO080Z,0,2,0,47.3
202011,LO04VLO4L0,1,1,1,47.3
202011,L8009L,0,3,0,19.9
202102,L84LO0040,0,2,0,99.9
202101,L9000V0FA,0,2,0,83.1
202101,80L0FA404,0,2,0,88.1
202101,L8040VZL,0,3,3,60.4
202102,L880LO8L8,0,2,0,45.5
202012,L8804940,0,3,0,59.3
202102,8004L00FA,H,1,0,10.6
202101,FA009L0,NULL,3,0,5.8
202102,LO0LOFA0VFAL,0,1,1,99.7
202012,LLOZZFAZLOV,0,3,0,0.1
202102,LZMLVFA0Z,0,1,1,84.8
202012,L94LFA4L9,0,1,0,29.4
202102,LZFA090LO0,0,3,0,63.3
202012,L400ZLOZV,1,0,0,42.1
202102,LZ9V840LO,0,3,0,48.2
202011,L49LOL4FAV,0,3,0,3.8
202102,FA0Z00Z98,0,1,1,72.6
202101,LFALZZFAZM,0,1,1,12.6
202102,L904Z0Z0,0,3,0,34.2
202101,L9Z0949L,0,3,3,97.5
202011,L8FAFALLL0,0,2,0,61
202101,LV4ZLO9L4,0,1,0,97.8
202012,LLZ4FAFA,0,1,1,46.4
202102,900ZMLOZLO,0,3,0,99.2
202102,800V9408,3,0,0,75.7
202012,L000490V,2,0,0,72.5
202101,LFAV08L,0,1,1,62.8
202011,LLOZV4L,0,3,0,5.7
202102,LLV00VZ0,0,1,0,12.3
202011,LL9LV8FA9,2,0,0,63.5
202102,FA0Z88980,0,2,0,86.1
202012,L809V984,0,3,3,88.7
202101,LLOV8FAZL9,0,1,0,63.9
202011,LLOV00FA89,H,3,0,66.5
202102,L9Z4FA800,0,1,0,97
202101,L9LLOL98V,0,1,0,27.4
202012,90L000FA8,2,0,0,33.2
202102,L9FALO9FA00,3,0,0,47.1
202012,800FAZ0Z,0,2,0,86.3
202101,V04L4FA00,1,0,0,96.5
202102,L9LLL040,0,2,0,17.6
202012,LVVLOZFALOL,0,2,0,57.6
202012,L9Z09VVL,0,2,0,73.6
202101,L0898FAV0,2,0,0,73.2
202012,L9V0FA8,0,2,0,99.7
202011,L8088FALOFA,0,2,0,15.2
202012,LO0VL,1,0,0,36.7
202102,FA0FA0400L,0,2,2,28
202101,FA00FA8VLLO,0,3,0,46.1
202012,LZ44LLOFA0,0,3,0,4.5
202102,LZ4LO0LOV8,3,0,0,56.6
202101,FA0Z0L0Z0,0,3,0,85
202102,LO0FAZM4VV,3,0,0,77.6
202101,LVLLOZ0LZ,0,2,2,10.5
202102,9FAV0L44,3,0,0,36.2
202102,L8FAZLO0L4,3,0,0,37.2
202011,V0LLLV8V,1,0,0,21.4
202012,FA0FA9800L,0,2,2,32
202012,LLOV9L00FA,0,3,0,6.2
202011,L00L08LOFA,0,2,0,21.1
202012,L0800ZLO9,0,1,1,32.3
202102,L80Z0L9V,1,0,0,30.7
202102,FA0Z0LOFALZ,0,2,0,7.1
202012,LZLO04FAL0,3,0,0,93.1
202102,L9VV09L0,0,2,2,30.1
202101,L8Z9Z0FA0,0,3,0,86.5
202102,9L40404,2,0,0,92.6
202011,LLOLZV0LO0,0,2,0,70.8
202102,V08904V0,0,3,0,28
202012,L9Z04ZV0,0,3,3,89.4
202101,LLO0ZV4VL,0,1,1,65.4
202011,L98LVV0Z,0,3,0,98.3
202102,L9V94004,NULL,3,0,56.9
202012,L0FA0Z0ZLO,0,3,0,6.2
202101,LFA4ZVL40,0,3,3,32.8
202011,LO04880V0,1,0,0,72.1
202012,L4ZL0080,0,3,3,4.3
202102,L40FAVVZ4,0,1,0,80
202101,VVFAFALV9,0,2,0,15.8
202012,LVV9LFAZZ,0,1,0,52.3
202012,LL0LOL94Z,0,2,0,79.1
202101,LO09FA0VZFA,0,2,2,26.3
202102,LLOV0LO0LO0,2,0,0,17.8
202012,LFA80ZZLO9,0,3,0,76.3
202012,L980Z04FA,0,2,0,2.7
202012,L94VFA8ZL,0,1,0,62.2
202102,LV90LFA0V,0,3,3,61.6
202011,L4044Z8Z,2,0,0,27.7
202102,Z0LOL4V49,3,0,0,81.5
202101,V00FAZ40V,0,1,1,86.8
202102,LFALFAL4,2,0,0,64.7
202102,Z04L8LVL,2,0,0,48.6
