ID,REINO
L84FA4LLO0,DORNE-3
LLOLFAZ48Z,NORTH
LO0FAFAV9FALO,CROWNLANDS
L9V94FA90,REACH
LLLOZZVZ8,#N/D
L9L984FAV,NORTH
L90ZLO4LOZ,IRONISLADS
L48L88LV,DORNE-3
L8LZV8LLO,#N/D
LLLO4LLLFA,RIVERLANDS-1
LFAL8908L,STORMLANDS-1
LLO00L049,DORNE-1
FA0FAV9048,#N/D
LLOZFAFA0,#N/D
L94LFA0FALO,REACH
L9VFA0L0FA,REACH
L9LLL8VFA,STARKS
8LOLL4,HOARE
LV4LFAV8FA,#N/D
LFA00LLZV,HOARE
LLOFA09FA,DORNE-1
L800ZLO,HOARE
80LFA00LOZ,STORMLANDS-1
LVLFAZML0,#N/D
VFAZ0LO0Z,IRONISLADS
LO0FA80V4LO,#N/D
V04ZVZ89,STORMLANDS-2
L8V4ZVZZ,IRONISLADS
LFALOZLLO8L,STORMLANDS-2
L8LLO9Z0LO,DORNE-3
LVLOZZ809,HOARE
L9890LO09,STORMLANDS-1
FA0LZ90FA8,#N/D
FA0FAV0LO40,#N/D
849LV49,HOARE
88Z80V8,IRONISLADS
LZM8LV0L,IRONISLADS
L9FAFA0V98,#N/D
LLOL9ZL04,#N/D
V088LFAZ9,REACH
LL49LZLFA,DORNE-3
L0VLOVFA00,DORNE-1
V0VLOL4VL,#N/D
L8L89FA08,NORTH
L4L98V,DORNE-1
LLOLFAFA09Z,DORNE-1
LV400L8LO,#N/D
FA0Z088V0,#N/D
LV84LZFA0,#N/D
L840LLFAFA,#N/D
90L4V0FALO,#N/D
L880VLOFA0,#N/D
L8L804VFA,REACH
L80LLO9LOV,#N/D
LZLO000LO0,#N/D
ZZZ98V8L,NORTH
800V9408,STARKS
LVV9ZLL8,STORMLANDS-1
L90ZVLO00,IRONISLADS
L84FA9LV4,#N/D
LV4LOLV04,HOARE
FA0LOVFALO00,#N/D
L849LOLZ0,STARKS
LFALO8LLOFA4,HOARE
L80V40ZLO,IRONISLADS
LLZZ44L0,REACH
L90L0FALO9,NORTH
LFAV0LOFA80,DORNE-3
L9FAVV9FA9,RIVERLANDS-2
FA0ZZ4LZLO,#N/D
L90FALFA8L,#N/D
L80LO8Z0V,CROWNLANDS
LVFA04L,DORNE-1
L88VFA089,#N/D
88VVFAV0,IRONISLADS
80ZFAFA,#N/D
L4LOL00,HOARE
FA00FA00FA0,RIVERLANDS-1
FA0ZLO080Z,#N/D
L9Z0LOZ00,#N/D
LO04VLO4L0,AEGON
L8009L,HOARE
L84LO0040,NORTH
L9000V0FA,HOARE
80L0FA404,STORMLANDS-1
L8040VZL,DORNE-1
L880LO8L8,#N/D
L8804940,IRONISLADS
8004L00FA,STARKS
L0LV9LLO0,#N/D
FA009L0,CROWNLANDS
LO0LOFA0VFAL,DORNE- 2
LVZ04ZLO4,#N/D
LLOZZFAZLOV,RIVERLANDS-1
LZMLVFA0Z,STORMLANDS-1
L94LFA4L9,IRONISLADS
LZFA090LO0,DORNE-3
L400ZLOZV,DORNE-1
LZ9V840LO,HOARE
L49LOL4FAV,RIVERLANDS-1
LO0VLO04LO0,#N/D
FA0Z00Z98,#N/D
LFALZZFAZM,#N/D
L904Z0Z0,CROWNLANDS
L9Z0949L,RIVERLANDS-2
L8FAFALLL0,NORTH
LV4ZLO9L4,#N/D
LZV084LV,HOARE
LLZ4FAFA,STORMLANDS-1
900ZMLOZLO,#N/D
800V9408,STARKS
L9ZFA4FAVFA,#N/D
L000490V,DORNE-3
LFAV08L,RIVERLANDS-2
LLOZV4L,#N/D
LLV00VZ0,STORMLANDS-1
V94FA49L,#N/D
LL9LV8FA9,DORNE-1
LO04LZ4LOFA,#N/D
LVZM90Z9,#N/D
FA0Z88980,#N/D
LLOZ88FAL9,HOARE
LLO4LO40FA8,#N/D
L8ZZ9048,#N/D
L809V984,CROWNLANDS
LLOV8FAZL9,NULL
LLOV00FA89,STORMLANDS-1
L9Z4FA800,RIVERLANDS-2
L8VLOVVLLO,#N/D
L9LLOL98V,IRONISLADS
90L000FA8,#N/D
L9FALO9FA00,IRONISLADS
V09V4LOZ,#N/D
L90LO0Z4V,#N/D
800FAZ0Z,HOARE
V04L4FA00,STORMLANDS-2
L9LLL040,STORMLANDS-1
LVVLOZFALOL,HOARE
L9Z09VVL,CROWNLANDS
L0898FAV0,STORMLANDS-1
L9V0FA8,RIVERLANDS-2
L8088FALOFA,REACH
LO0VL,CROWNLANDS
FA0FA0400L,#N/D
FA00FA8VLLO,#N/D
LZ44LLOFA0,STORMLANDS-1
LO0ZV40VFA,#N/D
LZ4LO0LOV8,DORNE-3
FA0Z0L0Z0,#N/D
L0,#N/D
LO0FAZM4VV,CROWNLANDS
LFA4ZZL00,#N/D
LVLLOZ0LZ,REACH
9FAV0L44,HOARE
L8FAZLO0L4,STORMLANDS-2
V0LLLV8V,RIVERLANDS-2
FA0FA9800L,#N/D
LLOV9L00FA,DORNE-3
L00L08LOFA,STORMLANDS-1
ZZLOL400Z,#N/D
LO0LFAZMLOZ,NULL
L0800ZLO9,#N/D
9Z98FA44,#N/D
L80Z0L9V,NORTH
FA0Z0LOFALZ,#N/D
LZLO04FAL0,HOARE
V0000FA4FA,CROWNLANDS
L9VV09L0,CROWNLANDS
L9Z400LOFA,#N/D
L8Z9Z0FA0,DORNE-1
9L40404,HOARE
LLOLZV0LO0,RIVERLANDS-1
V08904V0,STORMLANDS-2
L9Z04ZV0,STORMLANDS-2
LLO0ZV4VL,STORMLANDS-1
L98LVV0Z,STORMLANDS-2
L9V94004,STORMLANDS-2
L0FA0Z0ZLO,HOARE
LFA4ZVL40,IRONISLADS
LO04880V0,AEGON
L4ZL0080,HOARE
L40FAVVZ4,HOARE
VVFAFALV9,DORNE-1
V0L80Z8FA,#N/D
LVV9LFAZZ,DORNE- 2
LL0LOL94Z,DORNE-3
LO09FA0VZFA,CROWNLANDS
LLOV0LO0LO0,NORTH
LFA80ZZLO9,STORMLANDS-2
L980Z04FA,DORNE-1
L94VFA8ZL,#N/D
LV90LFA0V,IRONISLADS
L4044Z8Z,CROWNLANDS
Z0LOL4V49,RIVERLANDS-2
V00FAZ40V,RIVERLANDS-2
LFALFAL4,STORMLANDS-1
Z04L8LVL,DORNE-3
LVLL80,RIVERLANDS-1
LV048ZV0,#N/D
LVL0090LO,NULL
LLO9LOV09FA,DORNE-3
L00FA8ZL9,RIVERLANDS-1
LZ48900FA,HOARE
V84LOL,IRONISLADS
L90ZLLOFAL,REACH
LZ4L0Z00,#N/D
FA04089FAV,#N/D
L9Z08LFA0,#N/D
L9FAVLL,#N/D
VV8ZZ8V,HOARE
LZ80FAV04,HOARE
LVV0LLFAL,RIVERLANDS-2
LLOZZMFA04,STORMLANDS-1
LO04Z8094,CROWNLANDS
LV4VV9L0,#N/D
8000LFAFAFA,NULL
LV000LO08,STARKS
LVLOL98LV,RIVERLANDS-2
L9Z0FAFAFA0,#N/D
90L00LOFA0,#N/D
900LO4L89,#N/D
900ZZFAFA9,#N/D
L890FAL0L,RIVERLANDS-1
9004FAL89,#N/D
V0Z8L49FA,#N/D
L90FA0004,DORNE-3
L80LLFALOZ,#N/D
L8FA0Z0VLO,NORTH
ZZVLOFALO0L,IRONISLADS
L4Z04LO9Z,REACH
L9LO080ZFA,DORNE-3
900VZ,DORNE-1
FA0V8LLO4Z,#N/D
LZ4LVVLFA,IRONISLADS
L49LO9FAFA4,STORMLANDS-2
LL0904FA8,HOARE
L9V4VZ80,#N/D
LZ88LO04Z,#N/D
ZZ48LO48LO,NORTH
L9FAFA09ZL,#N/D
LVLOLV0LOL,HOARE
LZ9LO8V,RIVERLANDS-2
LVLLLO4V4,#N/D
L8VLOL0LFA,#N/D
FA0L00FAFA9,#N/D
LLZFAFA890,CROWNLANDS
LO0LL0LOZ9,NULL
L88VLOVZFA,RIVERLANDS-1
L80L0L9L,STARKS
V0Z8ZFAL,HOARE
L9V08Z40,STORMLANDS-2
L8ZLO09LL,#N/D
L8FAFAFA4V8,STORMLANDS-2
8ZV4084,HOARE
L80FAFA0FA0,IRONISLADS
FA04L8LZFA,#N/D
LZ90LOVLLO,DORNE-1
L49LLZ84,STORMLANDS-1
L4FALLO8FAL,#N/D
L488L9LLO,DORNE-1
LVZM0000,STORMLANDS-2
L4LFALZ89,#N/D
VLO90ZZM,HOARE
LZMZFA0LLO,HOARE
FA00LO8804,HOARE
LZ80400V,HOARE
V0FA9VV,STORMLANDS-2
809FALO0Z,#N/D
FA0FA8ZMLLO,#N/D
LZLOVLO8ZL,DORNE-1
LV9FA9000,NULL
LFAL9LO9ZLO,DORNE-1
L80FA0LZ9,STORMLANDS-2
LLLOL4L,DORNE-3
L9LFA8V0LO,STORMLANDS-1
LZ0VFAV0L,#N/D
L8LOZZM8L,#N/D
Z0LVZ4V8,RIVERLANDS-1
L888L4LZ,#N/D
ZZLOLFA009,NORTH
LV9LO9008,STORMLANDS-2
L9408448,DORNE-3
FA00ZLO00FA,NULL
LV84LZMLO,#N/D
L8490840,#N/D
V08LOVL9FA,REACH
LLO9ZV4,STORMLANDS-2
L404FA89LO,NORTH
L4V0LO9LO8,#N/D
L0FA9ZL00,STORMLANDS-1
LV4000,STORMLANDS-1
LFALOLFAV90,IRONISLADS
LO04FALLOL0,DORNE- 2
ZVZMFAVL0,RIVERLANDS-2
LO0Z8LFA,DORNE- 2
LLO0FA44VFA,STORMLANDS-2
LV0Z000Z,HOARE
900VLO804,#N/D
LLO04FA9FALO,NULL
FA0FAFAL9Z9,#N/D
L89LOFAZ09,#N/D
Z0L94L09,RIVERLANDS-1
L80L9LOV8,#N/D
LZ0V08FAZ,STARKS
V0L4LFAFALO,RIVERLANDS-2
LLOL0L4L8,#N/D
LO04FALLOL0,DORNE- 2
V0LO08FAFALO,HOARE
LV8VVFAFAZ,#N/D
L9L4ZLO49,#N/D
V0LO440FA0,#N/D
L9LFAZ8LZ,#N/D
L949V488,#N/D
Z0FALO0FA0V,DORNE-3
L90LOVL90,DORNE-1
LLOFALOFA8LV,RIVERLANDS-2
LLZLLV49,#N/D
LLOV4VFA0LO,STORMLANDS-1
V00LO080LO,STORMLANDS-2
LVZV090LO,RIVERLANDS-2
90084FA,#N/D
LZ8Z4LFA4,CROWNLANDS
LFA408LO9FA,DORNE-1
L90ZV90L,#N/D
V0Z0Z449,REACH
LO0ZFA888Z,AEGON
L08FA8L9Z,#N/D
L0LOV0LL9,DORNE-1
L0L49000,STARKS
FAZ80,#N/D
Z0LOLLO0VLO,RIVERLANDS-2
LO000L89LO,CROWNLANDS
LLO08LO8FAL,NULL
FA00ZFA8ZFA,RIVERLANDS-1
LZ9L0L0FA,DORNE-1
L8L4L098,DORNE-1
LVFA8FALO00,DORNE-1
ZZL04FALO9,#N/D
L9Z0900FA,IRONISLADS
L49V0Z8FA,HOARE
LVZMV9Z0,RIVERLANDS-2
L9LO4080FA,DORNE-1
L80LOVVZFA,#N/D
L8LO9Z8LOZ,STORMLANDS-1
FA009ZLOZZ,#N/D
V00844L8,STARKS
LFAVVVVLZ,#N/D
FA04049FA0,#N/D
L8L0LLFA4,#N/D
L04ZZLOFALO,NORTH
80090LO4LO,STORMLANDS-1
Z0488ZL0,RIVERLANDS-1
LO0FA0LO89L,CROWNLANDS
LFAL4ZLO,IRONISLADS
L4ZV0LO48,#N/D
LZ08V0L0,NULL
ZVZ98Z49,#N/D
L04FAV0FA4,IRONISLADS
9L4LFA40,HOARE
80FA4ZZ0,IRONISLADS
LO0094VFALO,CROWNLANDS
LZ0LO8FALOFA,IRONISLADS
LZZV8LOFA9,STORMLANDS-1
LZ4LO0LOV8,DORNE-3
90LLO0LOZ8,#N/D
LZMFA8L,STORMLANDS-1
